dataset,model,precision,batch_size,stage,latency_ms_mean,latency_ms_std,latency_ms_ci95,latency_ms_p99,energy_mj_mean,energy_mj_std,energy_mj_ci95,energy_mj_all,co2e_ug_mean,auc_mean,auc_std,score_drift_mean,score_drift_std,n_repeats
IEEE-CIS Fraud,LightGBM,FP64,100,preprocessing,0.6029178001335822,0.024997693018925654,0.010318540533155894,0.6477251197065925,358.50147149667464,214.39381189030985,88.49741599647179,"[102.28506505882252, 358.2368650631907, 104.83540000223002, 543.1207399715278, 286.70695504388283, 466.1028175678439, 388.4426374543182, 117.75868499626088, 200.42107501467402, 122.0673050193, 706.4904500157354, 346.6187799494947, 307.743359981032, 734.2747099892222, 876.9802624919976, 521.4411149472653, 558.1358949575588, 472.7377124936539, 260.4649550130489, 293.4834550387677, 439.84927247493033, 117.20761753622357, 176.99335746783618, 118.95604245182767, 341.18225741622155]",0.39209654745554867,0.6526315789473685,0.0,0.0,0.0,25
IEEE-CIS Fraud,LightGBM,FP64,100,inference,13.077719159773551,7.204301802750603,2.973789625646225,29.5197139193624,1004.7106622976571,560.0833937807436,231.19106216316337,"[442.3900825167948, 385.900675019002, 1526.3711349825826, 1810.634407474936, 2155.57499750048, 477.19089500787965, 1345.1539550260352, 769.7141250127971, 449.2251525107349, 445.91925501208607, 2189.924334988973, 1120.4128550343742, 1136.4979824475085, 1127.925297514594, 1717.796882539915, 1073.1413624944253, 1517.0528250382633, 990.5457825516353, 1124.9832774410606, 485.87964500711684, 552.4253474868601, 423.06854496473534, 545.6267049339658, 631.8408274319155, 672.5702075027585]",1.0988618267982289,0.6526315789473685,0.0,0.0,0.0,25
IEEE-CIS Fraud,LightGBM,FP64,100,postprocessing,0.14995987992733717,0.014556319332736076,0.006008553306686427,0.1895505202992353,389.2165583971291,284.13676839229987,117.28589351810034,"[283.928729991203, 88.65796498412236, 278.8837225170937, 197.34026242076652, 382.1406899987779, 344.99212495120446, 548.0410749305521, 328.92168500438856, 440.418435009633, 332.54879250307573, 412.0065299957787, 247.01214744709435, 378.9697600541331, 1100.8785875355898, 416.0455624878523, 1360.5345250289247, 473.8262600176313, 156.53773746180377, 342.12947752166656, 330.8019800351758, 394.0246375714196, 219.17637744991222, 93.2241875307227, 95.1067899768532, 484.26591750285303]",0.4256899368444038,0.6526315789473685,0.0,0.0,0.0,25
IEEE-CIS Fraud,LightGBM,FP64,1000,preprocessing,3.220458800205961,0.7634549823873085,0.3151387280033824,5.713424719797329,250.14244938593038,62.98015644655634,25.996930860231068,"[211.05771249494865, 222.4425499298377, 212.86164748744343, 217.10554998207954, 215.71226002379265, 260.33755754269805, 263.56890745319106, 257.56062501841376, 282.58826506316836, 272.3941025033128, 219.5679175110854, 211.27321501808186, 256.6855674604085, 217.30937749453008, 211.06249499098342, 213.06664251369511, 210.46892253707486, 217.41942491644295, 211.16237996920975, 221.91345494775308, 211.2879524838718, 441.76909995712776, 264.48950495250756, 291.09243243055977, 439.36366996604204]",0.2735832306819622,0.7512178784557303,1.1102230246251565e-16,0.0,0.0,25
IEEE-CIS Fraud,LightGBM,FP64,1000,inference,34.74958279992279,6.694065662631533,2.763174498509749,48.57364759940537,1904.9035392943551,360.16918448106634,148.67053235864202,"[1614.793959956842, 1858.3086925491443, 1594.1740599646437, 2142.4510399947394, 1617.6851049704057, 2037.9558049944535, 2167.4530700374817, 2476.560707468707, 2485.8936224563877, 1595.9398074619457, 1585.173017483612, 1596.7379474795962, 1591.1166350679196, 1651.3504250360713, 2144.509352515343, 1598.068727498685, 1621.8575824950678, 1586.1379674697673, 1598.7161275552357, 1592.095294945466, 2235.1759324965315, 2064.240925033119, 2030.1897575382102, 2691.8681849201676, 2444.1347349693388]",2.083411534895471,0.7512178784557303,1.1102230246251565e-16,0.0,0.0,25
IEEE-CIS Fraud,LightGBM,FP64,1000,postprocessing,0.13695111993001774,0.017526003368155445,0.0072343786285247735,0.17452055952162482,81.8549260024156,10.93923990350863,4.515496300431062,"[74.11211244289007, 73.3268950261845, 74.87963500352636, 77.54180744086625, 95.8611000169185, 111.33931502172348, 79.89117253146105, 86.84002252266511, 91.28724999754922, 73.95939504021955, 75.3337499600093, 75.98463002977952, 79.52982245569729, 74.38436754455326, 78.12801751697408, 74.65436252914516, 69.04242246037029, 82.58684754309797, 75.00330008042512, 75.47975250872696, 78.7345674552853, 82.01037000162614, 79.1803075162534, 105.08198744901165, 102.19993996543053]",0.08952552898537901,0.7512178784557303,1.1102230246251565e-16,0.0,0.0,25
IEEE-CIS Fraud,LightGBM,FP64,10000,preprocessing,32.381249199897866,4.347789673771984,1.7946793707918314,42.57891032015322,1784.1557617048238,244.19364035118429,100.79818061590387,"[1786.5953774798982, 1648.8768100589368, 1558.721830047034, 1549.6790600400348, 1870.9426774466922, 1573.3305350067894, 1612.8479699591483, 1626.9604424996944, 2076.238940035182, 2215.1672775044062, 2348.866272486703, 1987.5792200264186, 1947.2506174679438, 1537.4419974705238, 1528.311862512055, 1576.7751274279362, 1609.1156725178735, 1638.0786125273517, 1676.8037700512652, 1596.0778274666156, 1805.2035025402802, 1688.7927549896629, 1984.6041400751346, 1921.266340013972, 2238.3654049690454]",1.9513485157169708,0.6396070320579111,0.0,0.0,0.0,25
IEEE-CIS Fraud,LightGBM,FP64,10000,inference,323.902370840151,60.50156409204907,24.973818221165118,434.28160984061833,17081.6527614079,3184.6633506891567,1314.5644217513645,"[14660.43300743877, 15362.332867516672, 15553.214325009325, 14536.712870021802, 14927.068407478147, 14442.302590036888, 14513.637312566063, 15337.503194973579, 19059.42394243084, 18217.532847561415, 22854.834212553218, 22919.550179981343, 20234.955397472735, 14572.823870066715, 14566.061657496904, 14558.21401245885, 15660.29571499712, 15303.108482521568, 15158.368497559424, 14518.594952528476, 14538.436050002021, 19622.487520036888, 20613.65019500954, 22567.899695018245, 22741.87723246087]",18.6823698229777,0.6396070320579111,0.0,0.0,0.0,25
IEEE-CIS Fraud,LightGBM,FP64,10000,postprocessing,0.19554780024918728,0.020536795010446095,0.008477172336501842,0.229663039863226,87.33401400768344,14.733438311548793,6.081664427808145,"[78.44848995773646, 80.81168505668758, 79.6802400100205, 90.52310749666503, 79.48570254939115, 93.8285549682405, 79.53728242227953, 82.76976505385393, 88.36323745526899, 78.68666246849898, 126.14038753326898, 135.0554025066231, 80.55755752593541, 82.78849744783656, 76.69816749057647, 79.23304004634701, 79.38895751522068, 81.3361175778482, 78.28646001598828, 79.24956506940362, 77.55864751288755, 97.28196004289202, 80.93424002254325, 96.76139996372514, 99.94522248234716]",0.09551806084613194,0.6396070320579111,0.0,0.0,0.0,25
IEEE-CIS Fraud,LightGBM,FP64,100000,preprocessing,564.3565081198903,117.36218338499931,48.44472829556481,980.8538147191566,29688.550912691793,6187.717628019456,2554.164302445941,"[33326.14371251111, 57424.37298499226, 31452.52011750927, 28982.135937449126, 26841.51462250611, 29184.958879964142, 27049.223217518374, 26581.33866498702, 31349.890980004606, 26974.7796374395, 27397.43001247462, 26903.35057001448, 33095.588865071484, 26833.242749976307, 26967.39370501291, 31319.468122451322, 26626.565737474266, 26671.402104948356, 31871.090140039087, 27292.086974948692, 27281.386439976814, 27979.783252512796, 29254.873005020276, 26834.842359990034, 26718.39002250181]",32.47065699124391,0.6528568686453393,1.1102230246251565e-16,0.0,0.0,25
