dataset,model,stage,batch_size,comparison,mean_a_mj,mean_b_mj,saving_pct,wilcoxon_p,effect_size_r,significant
IEEE-CIS Fraud,XGBoost,preprocessing,10000,FP16 vs FP64,9447.7624,1809.15,-422.22,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,preprocessing,10000,BF16 vs FP64,1442.8034,1809.15,20.25,0.00043,0.76,YES
IEEE-CIS Fraud,XGBoost,preprocessing,100000,FP32 vs FP64,12396.9439,29290.3944,57.68,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,preprocessing,100000,FP16 vs FP64,88698.962,29290.3944,-202.83,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,preprocessing,100000,BF16 vs FP64,13459.7566,29290.3944,54.05,0.0,1.0,YES
IEEE-CIS Fraud,XGBoost,inference,100,FP32 vs FP64,247.39,246.9246,-0.19,0.56017,0.138,NO
IEEE-CIS Fraud,XGBoost,inference,100,FP16 vs FP64,282.5491,246.9246,-14.43,0.06263,0.428,NO
IEEE-CIS Fraud,XGBoost,inference,100,BF16 vs FP64,232.8586,246.9246,5.7,0.38098,0.206,NO
IEEE-CIS Fraud,XGBoost,inference,1000,FP32 vs FP64,885.6222,1056.9952,16.21,0.02027,0.526,YES
IEEE-CIS Fraud,XGBoost,inference,1000,FP16 vs FP64,1140.7826,1056.9952,-7.93,0.73099,0.083,NO
IEEE-CIS Fraud,XGBoost,inference,1000,BF16 vs FP64,1042.699,1056.9952,1.35,0.5077,0.157,NO
IEEE-CIS Fraud,XGBoost,inference,10000,FP32 vs FP64,9043.5519,8096.3908,-11.7,0.36659,0.212,NO
IEEE-CIS Fraud,XGBoost,inference,10000,FP16 vs FP64,10435.2313,8096.3908,-28.89,0.00049,0.754,YES
IEEE-CIS Fraud,XGBoost,inference,10000,BF16 vs FP64,8150.9549,8096.3908,-0.67,0.81193,0.058,NO
IEEE-CIS Fraud,XGBoost,inference,100000,FP32 vs FP64,79745.468,90045.1873,11.44,0.24107,0.274,NO
IEEE-CIS Fraud,XGBoost,inference,100000,FP16 vs FP64,100117.722,90045.1873,-11.19,0.21999,0.286,NO
IEEE-CIS Fraud,XGBoost,inference,100000,BF16 vs FP64,80180.95,90045.1873,10.95,0.12665,0.354,NO
IEEE-CIS Fraud,XGBoost,postprocessing,100,FP32 vs FP64,87.2912,81.859,-6.64,0.5424,0.145,NO
IEEE-CIS Fraud,XGBoost,postprocessing,100,FP16 vs FP64,80.0824,81.859,2.17,0.32539,0.231,NO
IEEE-CIS Fraud,XGBoost,postprocessing,100,BF16 vs FP64,77.2916,81.859,5.58,0.1645,0.323,NO
IEEE-CIS Fraud,XGBoost,postprocessing,1000,FP32 vs FP64,85.0602,86.3239,1.46,0.97892,0.009,NO
IEEE-CIS Fraud,XGBoost,postprocessing,1000,FP16 vs FP64,86.9112,86.3239,-0.68,0.67208,0.102,NO
IEEE-CIS Fraud,XGBoost,postprocessing,1000,BF16 vs FP64,82.3259,86.3239,4.63,0.89486,0.034,NO
IEEE-CIS Fraud,XGBoost,postprocessing,10000,FP32 vs FP64,125.5879,86.3001,-45.52,0.33879,0.225,NO
IEEE-CIS Fraud,XGBoost,postprocessing,10000,FP16 vs FP64,90.9617,86.3001,-5.4,0.77116,0.071,NO
IEEE-CIS Fraud,XGBoost,postprocessing,10000,BF16 vs FP64,87.4939,86.3001,-1.38,0.9368,0.022,NO
IEEE-CIS Fraud,XGBoost,postprocessing,100000,FP32 vs FP64,114.4944,122.0859,6.22,0.87399,0.04,NO
